dataset,score,method,model_architecture,calibration_level,conformal_type,overall_eff_mean,overall_eff_std,overall_inf_mean,overall_inf_std,overall_covgap_mean,overall_covgap_std,0_task_eff_mean,0_task_eff_std,0_task_inf_mean,0_task_inf_std,0_task_covgap_mean,0_task_covgap_std,1_task_eff_mean,1_task_eff_std,1_task_inf_mean,1_task_inf_std,1_task_covgap_mean,1_task_covgap_std
SGVehicle,Margin,JT,Joint-output,Task-wise,Clustered Global,3.9557,0.1964,0.5032,0.0362,5.8611,0.7522,1.733,0.0593,0.7472,0.0102,1.6772,0.1655,2.1706,0.0923,0.6524,0.048,1.4891,0.393
SGVehicle,Margin,JJ,Joint-output,Joint,Standard,31.4722,0.869,0.5569,0.0063,4.5333,0.3639,3.6991,0.0754,0.6428,0.007,2.7582,0.1114,3.473,0.0652,0.6443,0.007,2.8802,0.1672
SGVehicle,Margin,JJ,Joint-output,Joint,Classwise,75.7355,0.7852,0.0,0.0,4.1292,0.1784,12.0,0.0,0.0,0.0,5.0,0.0,9.0128,0.0767,0.0,0.0,4.5601,0.0994
SGVehicle,Margin,JJ,Joint-output,Joint,Clustered,41.4796,1.6267,0.2307,0.0043,4.427,0.3415,7.2488,0.1898,0.2327,0.0043,4.1941,0.1048,6.0184,0.1432,0.2344,0.0063,3.647,0.1779
SGVehicle,PIP,TT,Task-wise,Task-wise,Standard Global,1.3877,0.0317,0.7458,0.0138,7.4302,0.475,1.2037,0.0159,0.851,0.009,3.6427,0.3951,1.156,0.0131,0.8766,0.0069,2.977,0.2353
SGVehicle,PIP,TT,Task-wise,Task-wise,Standard Taskwise,1.4175,0.0418,0.744,0.012,7.299,0.4549,1.2763,0.0256,0.8233,0.0084,3.2653,0.2183,1.1124,0.0127,0.9034,0.0082,3.2883,0.2648
SGVehicle,PIP,TT,Task-wise,Task-wise,Classwise,2.1591,0.1482,0.6159,0.0328,5.735,0.3776,1.5542,0.0469,0.741,0.0163,1.777,0.3928,1.3802,0.0768,0.8277,0.0342,1.7182,0.2355
SGVehicle,PIP,TT,Task-wise,Task-wise,Clustered Taskwise,1.7067,0.0718,0.6734,0.0179,7.3798,0.5393,1.5301,0.053,0.7425,0.0172,2.143,0.3963,1.1124,0.0127,0.9034,0.0082,3.2883,0.2648
SGVehicle,PIP,TT,Task-wise,Task-wise,Clustered Global,1.8756,0.0884,0.6589,0.0178,6.4092,0.4284,1.5409,0.0525,0.7425,0.0172,1.9214,0.3966,1.2086,0.0202,0.8835,0.0152,1.9938,0.3009
SGVehicle,PIP,TJ,Task-wise,Joint,Standard,12.377,0.7296,0.6183,0.0075,4.4364,0.2221,2.1618,0.0615,0.7333,0.0067,2.6938,0.0879,2.0424,0.0588,0.7577,0.0066,3.2268,0.2314
SGVehicle,PIP,TJ,Task-wise,Joint,Classwise,67.1317,0.8475,0.0,0.0,4.0175,0.1555,12.0,0.0,0.0,0.0,5.0,0.0,8.7896,0.2005,0.0,0.0,4.5774,0.0689
SGVehicle,PIP,TJ,Task-wise,Joint,Clustered,21.8418,1.8122,0.1165,0.0052,4.3424,0.2053,5.5997,0.466,0.1337,0.013,3.5836,0.2024,4.8496,0.2895,0.1235,0.0073,3.8256,0.1008
SGVehicle,PIP,JT,Joint-output,Task-wise,Standard Global,1.6941,0.0464,0.6434,0.0116,7.5158,0.6368,1.288,0.0182,0.7943,0.0078,2.5667,0.2199,1.2918,0.0154,0.7992,0.0072,3.7796,0.3888
SGVehicle,PIP,JT,Joint-output,Task-wise,Standard Taskwise,1.6925,0.0397,0.6438,0.0108,7.5672,0.5385,1.2906,0.0262,0.7935,0.0109,2.5922,0.2756,1.2884,0.0149,0.8008,0.0077,3.8181,0.4182
SGVehicle,PIP,JT,Joint-output,Task-wise,Classwise,3.0222,0.1228,0.5427,0.0222,5.4675,0.5592,1.447,0.0309,0.7501,0.0094,1.7444,0.1373,2.0222,0.0746,0.7043,0.0297,1.5802,0.3883
SGVehicle,PIP,JT,Joint-output,Task-wise,Clustered Taskwise,1.861,0.0525,0.613,0.0091,7.1798,0.5012,1.4138,0.0422,0.7544,0.0112,1.7468,0.1298,1.2884,0.0149,0.8008,0.0077,3.8181,0.4182
SGVehicle,PIP,JT,Joint-output,Task-wise,Clustered Global,2.9958,0.123,0.5438,0.0219,5.6909,0.5424,1.4372,0.029,0.7517,0.0089,1.6617,0.1354,2.0202,0.0743,0.7043,0.0297,1.5007,0.3559
SGVehicle,PIP,JJ,Joint-output,Joint,Standard,18.9687,0.4451,0.5243,0.0068,4.6005,0.4301,2.7423,0.038,0.6583,0.0046,2.8422,0.1776,2.6218,0.0374,0.6582,0.0064,2.8397,0.0957
SGVehicle,PIP,JJ,Joint-output,Joint,Classwise,70.4594,0.8145,0.0,0.0,4.1059,0.1339,12.0,0.0,0.0,0.0,5.0,0.0,8.7047,0.0838,0.0,0.0,4.458,0.1197
SGVehicle,PIP,JJ,Joint-output,Joint,Clustered,31.3303,2.3122,0.2804,0.0066,4.5341,0.409,6.4201,0.2209,0.284,0.0065,4.0538,0.1457,5.4495,0.1379,0.286,0.0078,3.4517,0.1818
UTKFace,Hinge,TT,Task-wise,Task-wise,Standard Global,2.8357,0.0246,0.2719,0.0065,10.7752,0.4351,1.3584,0.0046,0.6416,0.0046,3.2234,0.1367,2.0673,0.0166,0.4062,0.0081,9.4926,0.3312
UTKFace,Hinge,TT,Task-wise,Task-wise,Standard Taskwise,3.0009,0.0521,0.2574,0.0071,8.5421,0.5177,1.1573,0.0122,0.8427,0.0122,0.8425,0.2555,2.5795,0.0257,0.2989,0.0044,4.8753,0.4023
UTKFace,Hinge,TT,Task-wise,Task-wise,Classwise,3.2514,0.0753,0.1833,0.0147,5.2672,0.4079,1.158,0.0138,0.842,0.0138,0.6098,0.2445,2.794,0.0523,0.2121,0.0158,1.1089,0.2458
UTKFace,Hinge,TT,Task-wise,Task-wise,Clustered Taskwise,3.2514,0.0753,0.1833,0.0147,5.2672,0.4079,1.158,0.0138,0.842,0.0138,0.6098,0.2445,2.794,0.0523,0.2121,0.0158,1.1089,0.2458
UTKFace,Hinge,TT,Task-wise,Task-wise,Clustered Global,3.2514,0.0753,0.1833,0.0147,5.2672,0.4079,1.158,0.0138,0.842,0.0138,0.6098,0.2445,2.794,0.0523,0.2121,0.0158,1.1089,0.2458
UTKFace,Hinge,TJ,Task-wise,Joint,Standard,3.7099,0.0491,0.123,0.0047,4.5779,0.3661,1.4744,0.0095,0.5256,0.0095,4.0514,0.1129,2.9027,0.0272,0.2368,0.005,3.4753,0.2195
UTKFace,Hinge,TJ,Task-wise,Joint,Classwise,4.0705,0.0756,0.0839,0.0058,1.4416,0.3267,1.4739,0.0116,0.5261,0.0116,3.9343,0.133,3.1676,0.0463,0.1468,0.01,1.8207,0.2802
UTKFace,Hinge,TJ,Task-wise,Joint,Clustered,4.0705,0.0756,0.0839,0.0058,1.4416,0.3267,1.4739,0.0116,0.5261,0.0116,3.9343,0.133,3.1676,0.0463,0.1468,0.01,1.8207,0.2802
UTKFace,Hinge,JT,Joint-output,Task-wise,Standard Global,2.9341,0.0406,0.2957,0.0062,11.0436,0.7134,1.3531,0.0073,0.6469,0.0073,3.2412,0.1636,2.1096,0.0209,0.4121,0.0058,10.0862,0.6434
UTKFace,Hinge,JT,Joint-output,Task-wise,Standard Taskwise,3.0134,0.0653,0.2783,0.0096,8.6102,0.7428,1.1557,0.0127,0.8443,0.0127,0.585,0.1733,2.5648,0.0391,0.3147,0.0068,5.2679,0.6171
UTKFace,Hinge,JT,Joint-output,Task-wise,Classwise,3.3442,0.0663,0.206,0.0104,5.0909,0.4145,1.1597,0.0128,0.8403,0.0128,0.5201,0.3094,2.8425,0.0405,0.2289,0.0126,1.0699,0.2756
UTKFace,Hinge,JT,Joint-output,Task-wise,Clustered Taskwise,3.3442,0.0663,0.206,0.0104,5.0909,0.4145,1.1597,0.0128,0.8403,0.0128,0.5201,0.3094,2.8425,0.0405,0.2289,0.0126,1.0699,0.2756
UTKFace,Hinge,JT,Joint-output,Task-wise,Clustered Global,3.3442,0.0663,0.206,0.0104,5.0909,0.4145,1.1597,0.0128,0.8403,0.0128,0.5201,0.3094,2.8425,0.0405,0.2289,0.0126,1.0699,0.2756
UTKFace,Hinge,JJ,Joint-output,Joint,Standard,3.6708,0.0564,0.1505,0.0079,4.5486,0.6867,1.4554,0.0109,0.5446,0.0109,3.9367,0.091,2.9136,0.0303,0.2494,0.0058,3.4337,0.3724
UTKFace,Hinge,JJ,Joint-output,Joint,Classwise,4.0107,0.1025,0.1246,0.0099,1.6048,0.5899,1.4515,0.0157,0.5485,0.0157,3.8186,0.0602,3.1762,0.0501,0.1758,0.0127,1.9517,0.2139
UTKFace,Hinge,JJ,Joint-output,Joint,Clustered,4.0107,0.1025,0.1246,0.0099,1.6048,0.5899,1.4515,0.0157,0.5485,0.0157,3.8186,0.0602,3.1762,0.0501,0.1758,0.0127,1.9517,0.2139
UTKFace,Margin,TT,Task-wise,Task-wise,Standard Global,3.2045,0.0745,0.4126,0.0112,9.1081,0.5669,1.2269,0.0089,0.7731,0.0089,1.5243,0.227,2.5855,0.0422,0.5229,0.0089,6.2329,0.3239
UTKFace,Margin,TT,Task-wise,Task-wise,Standard Taskwise,3.3523,0.1013,0.3959,0.0178,7.9147,0.9861,1.1573,0.0122,0.8427,0.0122,0.8425,0.2555,2.8755,0.0609,0.4624,0.014,4.1598,0.4798
UTKFace,Margin,TT,Task-wise,Task-wise,Classwise,3.5816,0.0892,0.2281,0.0137,5.288,0.6633,1.158,0.0138,0.842,0.0138,0.6098,0.2445,3.0736,0.0564,0.265,0.0149,0.9875,0.1952
UTKFace,Margin,TT,Task-wise,Task-wise,Clustered Taskwise,3.5816,0.0892,0.2281,0.0137,5.288,0.6633,1.158,0.0138,0.842,0.0138,0.6098,0.2445,3.0736,0.0564,0.265,0.0149,0.9875,0.1952
UTKFace,Margin,TT,Task-wise,Task-wise,Clustered Global,3.5816,0.0892,0.2281,0.0137,5.288,0.6633,1.158,0.0138,0.842,0.0138,0.6098,0.2445,3.0736,0.0564,0.265,0.0149,0.9875,0.1952
UTKFace,Margin,TJ,Task-wise,Joint,Standard,5.9641,0.1333,0.3406,0.0131,3.7904,0.4747,1.5871,0.0157,0.4129,0.0157,3.6938,0.1328,3.28,0.0625,0.3774,0.0148,3.4842,0.3577
UTKFace,Margin,TJ,Task-wise,Joint,Classwise,6.2435,0.1451,0.2017,0.0114,1.5842,0.1485,1.7573,0.0328,0.2427,0.0328,4.3199,0.1416,3.5937,0.0303,0.2022,0.0121,1.7108,0.2715
UTKFace,Margin,TJ,Task-wise,Joint,Clustered,6.2435,0.1451,0.2017,0.0114,1.5842,0.1485,1.7573,0.0328,0.2427,0.0328,4.3199,0.1416,3.5937,0.0303,0.2022,0.0121,1.7108,0.2715
UTKFace,Margin,JT,Joint-output,Task-wise,Standard Global,3.3112,0.0419,0.4212,0.0088,9.3214,0.4456,1.221,0.009,0.779,0.009,1.5431,0.2151,2.6511,0.0207,0.5145,0.0049,7.0407,0.3496
UTKFace,Margin,JT,Joint-output,Task-wise,Standard Taskwise,3.4337,0.069,0.3975,0.012,8.4292,0.7523,1.1557,0.0127,0.8443,0.0127,0.585,0.1733,2.9283,0.0508,0.4555,0.0113,5.0226,0.7872
UTKFace,Margin,JT,Joint-output,Task-wise,Classwise,3.6243,0.0667,0.2513,0.008,5.0516,0.4226,1.1597,0.0128,0.8403,0.0128,0.5201,0.3094,3.0838,0.0358,0.2801,0.0098,0.8844,0.1312
UTKFace,Margin,JT,Joint-output,Task-wise,Clustered Taskwise,3.6243,0.0667,0.2513,0.008,5.0516,0.4226,1.1597,0.0128,0.8403,0.0128,0.5201,0.3094,3.0838,0.0358,0.2801,0.0098,0.8844,0.1312
UTKFace,Margin,JT,Joint-output,Task-wise,Clustered Global,3.6243,0.0667,0.2513,0.008,5.0516,0.4226,1.1597,0.0128,0.8403,0.0128,0.5201,0.3094,3.0838,0.0358,0.2801,0.0098,0.8844,0.1312
UTKFace,Margin,JJ,Joint-output,Joint,Standard,6.061,0.1533,0.3433,0.0149,3.9529,0.5893,1.5899,0.017,0.4101,0.017,3.6962,0.1273,3.316,0.0667,0.3724,0.0146,3.6925,0.4861
UTKFace,Margin,JJ,Joint-output,Joint,Classwise,6.3506,0.1133,0.2268,0.0073,1.2765,0.1288,1.7391,0.0061,0.2609,0.0061,4.2389,0.0673,3.6261,0.0356,0.2273,0.0078,1.7009,0.115
UTKFace,Margin,JJ,Joint-output,Joint,Clustered,6.3506,0.1133,0.2268,0.0073,1.2765,0.1288,1.7391,0.0061,0.2609,0.0061,4.2389,0.0673,3.6261,0.0356,0.2273,0.0078,1.7009,0.115
UTKFace,PIP,TT,Task-wise,Task-wise,Standard Global,3.0849,0.0671,0.3794,0.0102,9.3154,0.6937,1.2361,0.0069,0.7639,0.0069,1.693,0.1966,2.4715,0.0411,0.4853,0.0098,6.6615,0.5874
UTKFace,PIP,TT,Task-wise,Task-wise,Standard Taskwise,3.2818,0.0908,0.3638,0.0147,8.03,0.9121,1.1573,0.0122,0.8427,0.0122,0.8425,0.2555,2.8154,0.0504,0.4246,0.0106,4.411,0.4235
UTKFace,PIP,TT,Task-wise,Task-wise,Classwise,3.4849,0.0829,0.2445,0.0163,5.2864,0.5917,1.158,0.0138,0.842,0.0138,0.6098,0.2445,2.9903,0.05,0.2841,0.0176,1.0834,0.0819
UTKFace,PIP,TT,Task-wise,Task-wise,Clustered Taskwise,3.4849,0.0829,0.2445,0.0163,5.2864,0.5917,1.158,0.0138,0.842,0.0138,0.6098,0.2445,2.9903,0.05,0.2841,0.0176,1.0834,0.0819
UTKFace,PIP,TT,Task-wise,Task-wise,Clustered Global,3.4849,0.0829,0.2445,0.0163,5.2864,0.5917,1.158,0.0138,0.842,0.0138,0.6098,0.2445,2.9903,0.05,0.2841,0.0176,1.0834,0.0819
UTKFace,PIP,TJ,Task-wise,Joint,Standard,5.5088,0.1414,0.3078,0.0127,4.1471,0.4823,1.5659,0.0162,0.4341,0.0162,3.7834,0.0961,3.1324,0.0599,0.3721,0.0137,3.7567,0.3348
UTKFace,PIP,TJ,Task-wise,Joint,Classwise,5.8437,0.1014,0.2183,0.0111,1.6489,0.1552,1.7247,0.0289,0.2753,0.0289,4.1869,0.0554,3.4651,0.0279,0.2203,0.0119,1.6851,0.2204
UTKFace,PIP,TJ,Task-wise,Joint,Clustered,5.8437,0.1014,0.2183,0.0111,1.6489,0.1552,1.7247,0.0289,0.2753,0.0289,4.1869,0.0554,3.4651,0.0279,0.2203,0.0119,1.6851,0.2204
UTKFace,PIP,JT,Joint-output,Task-wise,Standard Global,3.1542,0.0491,0.3913,0.0089,9.5049,0.6114,1.2276,0.0089,0.7724,0.0089,1.6771,0.1796,2.5068,0.0274,0.4817,0.0055,7.3102,0.4952
UTKFace,PIP,JT,Joint-output,Task-wise,Standard Taskwise,3.3417,0.0992,0.372,0.0137,8.6709,0.7376,1.1557,0.0127,0.8443,0.0127,0.585,0.1733,2.8471,0.0676,0.4248,0.0111,5.3229,0.5894
UTKFace,PIP,JT,Joint-output,Task-wise,Classwise,3.5623,0.0785,0.2467,0.0221,4.9669,0.3565,1.1597,0.0128,0.8403,0.0128,0.5201,0.3094,3.031,0.0524,0.2757,0.0255,0.8638,0.1472
UTKFace,PIP,JT,Joint-output,Task-wise,Clustered Taskwise,3.5623,0.0785,0.2467,0.0221,4.9669,0.3565,1.1597,0.0128,0.8403,0.0128,0.5201,0.3094,3.031,0.0524,0.2757,0.0255,0.8638,0.1472
UTKFace,PIP,JT,Joint-output,Task-wise,Clustered Global,3.5623,0.0785,0.2467,0.0221,4.9669,0.3565,1.1597,0.0128,0.8403,0.0128,0.5201,0.3094,3.031,0.0524,0.2757,0.0255,0.8638,0.1472
UTKFace,PIP,JJ,Joint-output,Joint,Standard,5.7186,0.1433,0.31,0.0116,4.194,0.5184,1.5721,0.0155,0.4279,0.0155,3.7704,0.1544,3.2243,0.0591,0.3579,0.0119,3.8301,0.4403
UTKFace,PIP,JJ,Joint-output,Joint,Classwise,5.8973,0.1041,0.2409,0.012,1.3895,0.2052,1.7069,0.0116,0.2931,0.0116,4.0244,0.1215,3.4811,0.0276,0.2432,0.0127,1.5124,0.2908
UTKFace,PIP,JJ,Joint-output,Joint,Clustered,5.8973,0.1041,0.2409,0.012,1.3895,0.2052,1.7069,0.0116,0.2931,0.0116,4.0244,0.1215,3.4811,0.0276,0.2432,0.0127,1.5124,0.2908
